ID,Information_centrality,Degree_centrality,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,clustering_coefficient,Load_centrality,Page_rank
AT1G53680,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT1G27140,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT1G27130,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT2G29490,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT1G78320,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT1G17180,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT2G29480,,0.00018429782528566163,0.0,1.5169661052208469e-16,0.0022586286673306616,0.0,0.0,0.00010212153731494261
AT1G05670,,0.0005528934758569849,2.038316961684737e-07,7.09509835906129e-23,0.0005528934758569849,0.0,2.038316961684737e-07,0.00035569133411530676
AT2G31790,,0.00018429782528566163,0.0,4.096356947538898e-23,0.00033173608551419095,0.0,0.0,0.00012712137643610527
AT1G05680,,0.00018429782528566163,0.0,4.096356947538898e-23,0.00033173608551419095,0.0,0.0,0.00012712137643610527
AT2G31750,,0.00018429782528566163,0.0,4.096356947538898e-23,0.00033173608551419095,0.0,0.0,0.00012712137643610527
AT1G05690,,0.0016586804275709546,4.322213370642075e-05,5.308997893511387e-12,0.007773520043190204,0.0,3.495778297764307e-05,0.0005262418080323785
AT2G19190,,0.00036859565057132326,7.581676317800928e-06,8.21409734648592e-12,0.009505292968957232,0.0,6.7620356347954225e-06,0.00013578387703980753
AT2G19210,,0.00036859565057132326,7.581676317800928e-06,8.21409734648592e-12,0.009505292968957232,0.0,6.7620356347954225e-06,0.00013578387703980753
AT3G48430,,0.0009214891264283081,1.3894527288817626e-05,7.073342229474207e-13,0.006485678123139906,0.0,1.3894527288817626e-05,0.0002756217582275769
AT1G51790,,0.00036859565057132326,7.581676317800928e-06,8.21409734648592e-12,0.009505292968957232,0.0,6.7620356347954225e-06,0.00013578387703980753
AT4G29990,,0.00036859565057132326,7.581676317800928e-06,8.21409734648592e-12,0.009505292968957232,0.0,6.7620356347954225e-06,0.00013578387703980753
AT1G51800,,0.00036859565057132326,7.581676317800928e-06,8.21409734648592e-12,0.009505292968957232,0.0,6.7620356347954225e-06,0.00013578387703980753
AT1G05700,,0.0007371913011426465,4.535093468561076e-05,8.384294258782485e-12,0.009553118342385949,0.0,5.026877878364405e-05,0.00023222760858443287
AT5G04240,,0.0009214891264283081,1.3894527288817626e-05,7.073342229474207e-13,0.006485678123139906,0.0,1.3894527288817626e-05,0.0002756217582275769
AT4G29450,,0.00036859565057132326,7.581676317800928e-06,8.21409734648592e-12,0.009505292968957232,0.0,6.7620356347954225e-06,0.00013578387703980753
AT5G01920,,0.007740508661997788,0.0005561181978194453,7.997527382882158e-11,0.012511909525859686,0.0,0.0005567790175651965,0.002991613988079154
AT3G48360,,0.00036859565057132326,1.3588779744564914e-08,1.2766863929319367e-13,0.005539554399851808,0.0,1.358877974456491e-08,0.00012331713789751736
